Datetime,Hashrate
2025-06-09 22,13.845
2025-06-09 23,13.956
2025-06-10 00,13.909
2025-06-10 01,13.862
2025-06-10 02,13.755
2025-06-10 03,13.455
2025-06-10 04,13.317
2025-06-10 05,13.647
2025-06-10 06,13.615
2025-06-10 07,13.656
2025-06-10 08,13.762
2025-06-10 09,13.696
2025-06-10 10,13.275
2025-06-10 11,13.221
2025-06-10 12,13.234
2025-06-10 13,13.264
2025-06-10 14,13.280
2025-06-10 15,13.136
2025-06-10 19:00:00,13.222
2025-06-10 20:00:00,13.629
2025-06-10 21:00:00,13.652
2025-06-10 22:00:00,13.715
2025-06-10 23:00:00,13.753
2025-06-11 00:00:00,13.548
2025-06-11 01:00:00,13.285
2025-06-11 02:00:00,13.118
2025-06-11 03:00:00,13.444
2025-06-11 04:00:00,13.494
2025-06-11 05:00:00,13.682
2025-06-11 06:00:00,13.888
2025-06-11 07:00:00,13.666
2025-06-11 08:00:00,13.196
2025-06-11 09:00:00,12.908
2025-06-11 10:00:00,12.967
2025-06-11 11:00:00,12.805
2025-06-11 12:00:00,13.023
2025-06-11 13:00:00,12.921
2025-06-11 14:00:00,12.964
2025-06-11 15:00:00,12.972
2025-06-11 16:00:00,12.810
2025-06-11 17:00:00,12.350
2025-06-11 18:00:00,12.612
2025-06-11 19:00:00,12.265
2025-06-11 20:00:00,12.224
2025-06-11 21:00:00,12.321
2025-06-11 22:00:00,12.744
2025-06-11 23:00:00,12.383
2025-06-12 00:00:00,12.820
2025-06-12 01:00:00,12.656
2025-06-12 02:00:00,12.494
2025-06-12 03:00:00,12.635
2025-06-12 04:00:00,12.485
2025-06-12 05:00:00,12.542
2025-06-12 06:00:00,12.366
2025-06-12 07:00:00,12.262
2025-06-12 08:00:00,12.195
2025-06-12 09:00:00,12.314
2025-06-12 10:00:00,12.117
2025-06-12 11:00:00,12.380
2025-06-12 12:00:00,12.699
2025-06-12 13:00:00,12.976
2025-06-12 14:00:00,13.478
2025-06-12 15:00:00,13.609
2025-06-12 16:00:00,13.787
2025-06-12 17:00:00,13.653
2025-06-12 18:00:00,13.413
2025-06-12 19:00:00,13.292
2025-06-12 20:00:00,12.961
2025-06-12 21:00:00,13.091
2025-06-12 22:00:00,12.828
2025-06-12 23:00:00,12.937
2025-06-13 00:00:00,12.891
2025-06-13 01:00:00,12.972
2025-06-13 02:00:00,12.925
2025-06-13 03:00:00,13.194
2025-06-13 04:00:00,13.449
2025-06-13 05:00:00,13.617
2025-06-13 06:00:00,13.597
2025-06-13 07:00:00,13.582
2025-06-13 08:00:00,13.370
2025-06-13 09:00:00,13.235
2025-06-13 10:00:00,13.238
2025-06-13 11:00:00,13.115
2025-06-13 12:00:00,13.199
2025-06-13 13:00:00,13.321
2025-06-13 14:00:00,13.341
2025-06-13 15:00:00,13.314
2025-06-13 16:00:00,13.414
2025-06-13 17:00:00,13.291
2025-06-13 18:00:00,13.308
2025-06-13 19:00:00,13.555
2025-06-13 20:00:00,13.477
2025-06-13 21:00:00,13.222
2025-06-13 22:00:00,13.390
2025-06-13 23:00:00,13.317
2025-06-14 00:00:00,13.149
2025-06-14 01:00:00,13.256
2025-06-14 02:00:00,13.434
2025-06-14 03:00:00,13.540
2025-06-14 04:00:00,13.446
2025-06-14 05:00:00,13.777
2025-06-14 06:00:00,13.865
2025-06-14 07:00:00,13.847
2025-06-14 08:00:00,13.667
2025-06-14 09:00:00,13.869
2025-06-14 10:00:00,13.488
2025-06-14 11:00:00,13.610
2025-06-14 12:00:00,13.570
2025-06-14 13:00:00,13.319
2025-06-14 14:00:00,13.277
2025-06-14 15:00:00,13.397
2025-06-14 16:00:00,13.257
2025-06-14 17:00:00,13.125
2025-06-14 18:00:00,13.189
2025-06-14 19:00:00,12.955
2025-06-14 20:00:00,13.186
2025-06-14 21:00:00,13.515
2025-06-14 22:00:00,13.324
2025-06-14 23:00:00,13.866
2025-06-15 00:00:00,13.911
2025-06-15 01:00:00,13.847
2025-06-15 02:00:00,13.826
2025-06-15 03:00:00,13.743
2025-06-15 04:00:00,13.672
2025-06-15 05:00:00,13.644
2025-06-15 06:00:00,13.724
2025-06-15 07:00:00,14.105
2025-06-15 08:00:00,14.308
2025-06-15 09:00:00,14.900
2025-06-15 10:00:00,14.632
2025-06-15 11:00:00,14.635
2025-06-15 12:00:00,14.171
2025-06-15 13:00:00,13.911
2025-06-15 14:00:00,13.893
2025-06-15 15:00:00,13.676
2025-06-15 16:00:00,13.967
2025-06-15 17:00:00,13.999
2025-06-15 18:00:00,14.315
2025-06-15 19:00:00,14.354
2025-06-15 20:00:00,14.127
2025-06-15 21:00:00,13.939
2025-06-15 22:00:00,14.162
2025-06-15 23:00:00,13.915
2025-06-16 00:00:00,14.027
2025-06-16 01:00:00,13.704
2025-06-16 02:00:00,13.615
2025-06-16 03:00:00,13.567
2025-06-16 04:00:00,14.304
2025-06-16 05:00:00,15.168
2025-06-16 06:00:00,15.985
2025-06-16 07:00:00,16.547
2025-06-16 08:00:00,16.896
2025-06-16 09:00:00,16.870
2025-06-16 10:00:00,17.059
2025-06-16 11:00:00,17.029
2025-06-16 12:00:00,17.171
2025-06-16 13:00:00,17.342
2025-06-16 14:00:00,17.077
2025-06-16 15:00:00,16.273
2025-06-16 16:00:00,15.647
2025-06-16 17:00:00,15.031
2025-06-16 18:00:00,14.435
2025-06-16 19:00:00,13.944
2025-06-16 20:00:00,13.598
2025-06-16 21:00:00,13.817
2025-06-16 22:00:00,14.088
2025-06-16 23:00:00,13.934
2025-06-17 00:00:00,13.802
2025-06-17 01:00:00,13.544
2025-06-17 02:00:00,13.290
2025-06-17 03:00:00,13.074
2025-06-17 04:00:00,13.164
2025-06-17 05:00:00,13.140
2025-06-17 06:00:00,13.399
2025-06-17 07:00:00,13.619
2025-06-17 08:00:00,13.874
2025-06-17 09:00:00,14.007
2025-06-17 10:00:00,13.984
2025-06-17 11:00:00,13.943
2025-06-17 12:00:00,13.768
2025-06-17 13:00:00,13.915
2025-06-17 14:00:00,13.793
2025-06-17 15:00:00,13.830
2025-06-17 16:00:00,13.794
2025-06-17 17:00:00,13.979
2025-06-17 18:00:00,13.864
2025-06-17 19:00:00,13.950
2025-06-17 20:00:00,14.238
2025-06-17 21:00:00,14.398
2025-06-17 22:00:00,14.336
2025-06-17 23:00:00,14.317
2025-06-18 00:00:00,14.317
2025-06-18 01:00:00,14.108
2025-06-18 02:00:00,14.059
2025-06-18 03:00:00,14.135
2025-06-18 04:00:00,14.175
2025-06-18 05:00:00,14.157
2025-06-18 06:00:00,13.812
2025-06-18 07:00:00,13.841
2025-06-18 08:00:00,14.097
2025-06-18 09:00:00,14.021
2025-06-18 10:00:00,14.043
2025-06-18 11:00:00,14.331
2025-06-18 12:00:00,13.890
2025-06-18 13:00:00,14.260
2025-06-18 14:00:00,14.253
2025-06-18 15:00:00,14.564
2025-06-18 16:00:00,14.450
2025-06-18 17:00:00,14.335
2025-06-18 18:00:00,14.130
2025-06-18 19:00:00,14.027
2025-06-18 20:00:00,14.053
2025-06-18 21:00:00,14.381
2025-06-18 22:00:00,14.657
2025-06-18 23:00:00,14.648
2025-06-19 00:00:00,14.503
2025-06-19 01:00:00,14.699
2025-06-19 02:00:00,14.814
2025-06-19 03:00:00,14.575
2025-06-19 04:00:00,14.699
2025-06-19 05:00:00,14.735
2025-06-19 06:00:00,14.421
2025-06-19 07:00:00,14.284
2025-06-19 08:00:00,14.172
2025-06-19 09:00:00,13.925
2025-06-19 10:00:00,13.892
2025-06-19 11:00:00,14.029
2025-06-19 12:00:00,14.246
2025-06-19 13:00:00,14.519
2025-06-19 14:00:00,15.085
2025-06-19 15:00:00,15.713
2025-06-19 16:00:00,16.042
2025-06-19 17:00:00,16.105
2025-06-19 18:00:00,15.973
2025-06-19 19:00:00,16.201
2025-06-19 20:00:00,15.597
2025-06-19 21:00:00,15.049
2025-06-19 22:00:00,15.115
2025-06-19 23:00:00,14.664
2025-06-20 00:00:00,14.487
2025-06-20 01:00:00,14.316
2025-06-20 02:00:00,14.426
2025-06-20 03:00:00,14.316
2025-06-20 04:00:00,14.576
2025-06-20 05:00:00,14.405
2025-06-20 06:00:00,14.304
2025-06-20 07:00:00,14.318
2025-06-20 08:00:00,14.194
2025-06-20 09:00:00,14.243
2025-06-20 10:00:00,14.445
2025-06-20 11:00:00,14.963
2025-06-20 12:00:00,15.297
2025-06-20 13:00:00,15.784
2025-06-20 14:00:00,15.652
2025-06-20 15:00:00,15.423
2025-06-20 16:00:00,15.114
2025-06-20 17:00:00,14.800
2025-06-20 18:00:00,14.348
2025-06-20 19:00:00,14.333
2025-06-20 20:00:00,14.115
2025-06-20 21:00:00,13.919
2025-06-20 22:00:00,13.905
2025-06-20 23:00:00,13.704
2025-06-21 00:00:00,10.000
2025-06-21 01:00:00,13.980
2025-06-21 02:00:00,14.212
2025-06-21 03:00:00,14.213
2025-06-21 04:00:00,14.412
2025-06-21 05:00:00,14.176
2025-06-21 06:00:00,14.099
2025-06-21 07:00:00,13.856
2025-06-21 08:00:00,13.775
2025-06-21 09:00:00,13.835
2025-06-21 10:00:00,14.168
2025-06-21 11:00:00,14.047
2025-06-21 12:00:00,14.136
2025-06-21 13:00:00,14.388
2025-06-21 14:00:00,14.283
2025-06-21 15:00:00,14.038
2025-06-21 16:00:00,14.135
2025-06-21 17:00:00,14.011
2025-06-21 18:00:00,13.859
2025-06-21 19:00:00,13.698
2025-06-21 20:00:00,13.778
2025-06-21 21:00:00,13.942
2025-06-21 22:00:00,13.830
2025-06-21 23:00:00,13.785
2025-06-22 00:00:00,14.045
2025-06-22 01:00:00,13.837
2025-06-22 02:00:00,13.529
2025-06-22 03:00:00,13.520
2025-06-22 04:00:00,13.612
2025-06-22 05:00:00,13.429
2025-06-22 06:00:00,13.645
2025-06-22 07:00:00,13.612
2025-06-22 08:00:00,13.418
2025-06-22 09:00:00,13.508
2025-06-22 10:00:00,13.380
2025-06-22 11:00:00,13.622
2025-06-22 12:00:00,13.771
2025-06-22 13:00:00,14.184
2025-06-22 14:00:00,14.042
2025-06-22 15:00:00,14.012
2025-06-22 16:00:00,13.972
2025-06-22 17:00:00,13.819
2025-06-22 18:00:00,13.806
2025-06-22 19:00:00,13.737
2025-06-22 20:00:00,14.142
2025-06-22 21:00:00,14.199
2025-06-22 22:00:00,14.215
2025-06-22 23:00:00,13.815
2025-06-23 00:00:00,13.889
2025-06-23 01:00:00,13.902
2025-06-23 02:00:00,13.893
2025-06-23 03:00:00,13.950
2025-06-23 04:00:00,14.208
2025-06-23 05:00:00,14.025
2025-06-23 06:00:00,13.816
2025-06-23 07:00:00,13.646
2025-06-23 08:00:00,13.368
2025-06-23 09:00:00,13.267
2025-06-23 10:00:00,13.279
2025-06-23 11:00:00,13.259
2025-06-23 12:00:00,13.383
2025-06-23 13:00:00,13.673
2025-06-23 14:00:00,13.887
2025-06-23 15:00:00,14.181
2025-06-23 16:00:00,14.498
2025-06-23 17:00:00,14.616
2025-06-23 18:00:00,14.803
2025-06-23 19:00:00,14.463
2025-06-23 20:00:00,14.320
2025-06-23 21:00:00,14.055
2025-06-23 22:00:00,14.054
2025-06-23 23:00:00,13.890
