Datetime,Hashrate
2025-06-23 17:00:00,5.042
2025-06-23 18:00:00,4.990
2025-06-23 19:00:00,5.030
2025-06-23 20:00:00,5.055
2025-06-23 21:00:00,5.167
2025-06-23 22:00:00,5.233
2025-06-23 23:00:00,5.260
2025-06-24 00:00:00,5.176
2025-06-24 01:00:00,5.323
2025-06-24 02:00:00,5.340
2025-06-24 03:00:00,5.357
2025-06-24 04:00:00,5.301
2025-06-24 05:00:00,5.199
2025-06-24 06:00:00,5.058
2025-06-24 07:00:00,5.101
2025-06-24 08:00:00,5.083
2025-06-24 09:00:00,5.228
2025-06-24 10:00:00,5.263
2025-06-24 11:00:00,5.270
2025-06-24 12:00:00,5.223
2025-06-24 13:00:00,5.168
2025-06-24 14:00:00,5.205
2025-06-24 15:00:00,5.130
2025-06-24 16:00:00,5.074
2025-06-24 17:00:00,5.075
2025-06-24 18:00:00,5.039
2025-06-24 19:00:00,5.056
2025-06-24 20:00:00,5.135
2025-06-24 21:00:00,5.151
2025-06-24 22:00:00,5.123
2025-06-24 23:00:00,5.101
2025-06-25 00:00:00,5.038
2025-06-25 01:00:00,5.060
2025-06-25 02:00:00,5.050
2025-06-25 03:00:00,5.131
2025-06-25 04:00:00,5.199
2025-06-25 05:00:00,5.194
2025-06-25 06:00:00,5.129
2025-06-25 07:00:00,5.227
2025-06-25 08:00:00,5.203
2025-06-25 09:00:00,5.201
2025-06-25 10:00:00,5.172
2025-06-25 11:00:00,5.109
2025-06-25 12:00:00,5.118
2025-06-25 13:00:00,5.109
2025-06-25 14:00:00,5.063
2025-06-25 15:00:00,5.053
2025-06-25 16:00:00,5.095
2025-06-25 17:00:00,5.096
2025-06-25 18:00:00,5.039
2025-06-25 19:00:00,5.130
2025-06-25 20:00:00,5.254
2025-06-25 21:00:00,5.270
2025-06-25 22:00:00,5.269
2025-06-25 23:00:00,5.339
2025-06-26 00:00:00,5.190
2025-06-26 01:00:00,5.201
2025-06-26 02:00:00,5.250
2025-06-26 03:00:00,5.305
2025-06-26 04:00:00,5.334
2025-06-26 05:00:00,5.329
2025-06-26 06:00:00,5.256
2025-06-26 07:00:00,5.355
2025-06-26 08:00:00,5.187
2025-06-26 09:00:00,5.276
2025-06-26 10:00:00,5.238
2025-06-26 11:00:00,5.220
2025-06-26 12:00:00,5.262
2025-06-26 13:00:00,5.229
2025-06-26 14:00:00,5.301
2025-06-26 15:00:00,5.318
2025-06-26 16:00:00,5.443
2025-06-26 17:00:00,5.495
2025-06-26 18:00:00,5.372
2025-06-26 19:00:00,5.521
2025-06-26 20:00:00,5.573
2025-06-26 21:00:00,5.531
2025-06-26 22:00:00,5.487
2025-06-26 23:00:00,5.412
2025-06-27 00:00:00,5.477
2025-06-27 01:00:00,5.483
2025-06-27 02:00:00,5.503
2025-06-27 03:00:00,5.626
2025-06-27 04:00:00,5.593
2025-06-27 05:00:00,5.651
2025-06-27 06:00:00,5.614
2025-06-27 07:00:00,5.524
2025-06-27 08:00:00,5.489
2025-06-27 09:00:00,5.453
2025-06-27 10:00:00,5.449
2025-06-27 11:00:00,5.356
2025-06-27 12:00:00,5.336
2025-06-27 13:00:00,5.383
2025-06-27 14:00:00,5.429
2025-06-27 15:00:00,5.332
2025-06-27 16:00:00,5.344
2025-06-27 17:00:00,5.282
2025-06-27 18:00:00,5.465
2025-06-27 19:00:00,5.382
2025-06-27 20:00:00,5.250
2025-06-27 21:00:00,5.396
2025-06-27 22:00:00,5.402
2025-06-27 23:00:00,5.400
2025-06-28 00:00:00,5.369
2025-06-28 01:00:00,5.367
2025-06-28 02:00:00,5.296
2025-06-28 03:00:00,5.389
2025-06-28 04:00:00,5.359
2025-06-28 05:00:00,5.383
2025-06-28 06:00:00,5.387
2025-06-28 07:00:00,5.389
2025-06-28 08:00:00,5.343
2025-06-28 09:00:00,5.220
2025-06-28 10:00:00,5.167
2025-06-28 11:00:00,5.139
2025-06-28 12:00:00,5.194
2025-06-28 13:00:00,5.086
2025-06-28 14:00:00,5.059
2025-06-28 15:00:00,5.175
2025-06-28 16:00:00,5.241
2025-06-28 17:00:00,5.195
2025-06-28 18:00:00,5.191
2025-06-28 19:00:00,5.206
2025-06-28 20:00:00,5.221
2025-06-28 21:00:00,5.267
2025-06-28 22:00:00,5.288
2025-06-28 23:00:00,5.420
2025-06-29 00:00:00,5.414
2025-06-29 01:00:00,5.404
2025-06-29 02:00:00,5.439
2025-06-29 03:00:00,5.401
2025-06-29 04:00:00,5.377
2025-06-29 05:00:00,5.453
2025-06-29 06:00:00,5.429
2025-06-29 07:00:00,5.541
2025-06-29 08:00:00,5.675
2025-06-29 09:00:00,5.699
2025-06-29 10:00:00,5.711
2025-06-29 11:00:00,5.743
2025-06-29 12:00:00,5.663
2025-06-29 13:00:00,5.683
2025-06-29 14:00:00,5.651
2025-06-29 15:00:00,5.466
2025-06-29 16:00:00,5.548
2025-06-29 17:00:00,5.611
2025-06-29 18:00:00,5.598
2025-06-29 19:00:00,5.673
2025-06-29 20:00:00,5.664
2025-06-29 21:00:00,5.642
2025-06-29 22:00:00,5.570
2025-06-29 23:00:00,5.638
2025-06-30 00:00:00,5.604
2025-06-30 01:00:00,5.580
2025-06-30 02:00:00,5.547
2025-06-30 03:00:00,5.437
2025-06-30 04:00:00,5.452
2025-06-30 05:00:00,5.377
2025-06-30 06:00:00,5.320
2025-06-30 07:00:00,5.186
2025-06-30 08:00:00,5.058
2025-06-30 09:00:00,5.145
2025-06-30 10:00:00,5.163
2025-06-30 11:00:00,5.191
2025-06-30 12:00:00,5.250
2025-06-30 13:00:00,5.303
2025-06-30 14:00:00,5.297
2025-06-30 15:00:00,5.257
2025-06-30 16:00:00,5.164
2025-06-30 17:00:00,5.128
2025-06-30 18:00:00,5.143
2025-06-30 19:00:00,5.154
2025-06-30 20:00:00,5.170
2025-06-30 21:00:00,5.282
2025-06-30 22:00:00,5.347
2025-06-30 23:00:00,5.426
2025-07-01 00:00:00,5.493
2025-07-01 01:00:00,5.521
2025-07-01 02:00:00,5.602
2025-07-01 03:00:00,5.764
2025-07-01 04:00:00,5.659
2025-07-01 05:00:00,5.676
2025-07-01 06:00:00,5.487
2025-07-01 07:00:00,5.583
2025-07-01 08:00:00,5.598
2025-07-01 09:00:00,5.568
2025-07-01 10:00:00,5.592
2025-07-01 11:00:00,5.748
2025-07-01 12:00:00,5.772
2025-07-01 13:00:00,5.796
2025-07-01 14:00:00,6.011
2025-07-01 15:00:00,5.891
2025-07-01 16:00:00,5.929
2025-07-01 17:00:00,5.834
2025-07-01 18:00:00,5.835
2025-07-01 19:00:00,5.619
2025-07-01 20:00:00,5.578
2025-07-01 21:00:00,5.594
2025-07-01 22:00:00,5.527
2025-07-01 23:00:00,5.372
2025-07-02 00:00:00,5.353
2025-07-02 01:00:00,5.415
2025-07-02 02:00:00,5.407
2025-07-02 03:00:00,5.403
2025-07-02 04:00:00,5.354
2025-07-02 05:00:00,5.295
2025-07-02 06:00:00,5.278
2025-07-02 07:00:00,5.233
2025-07-02 08:00:00,5.178
2025-07-02 09:00:00,5.067
2025-07-02 10:00:00,5.025
2025-07-02 11:00:00,5.055
2025-07-02 12:00:00,4.985
2025-07-02 13:00:00,5.043
2025-07-02 14:00:00,5.039
2025-07-02 15:00:00,5.215
2025-07-02 16:00:00,5.222
2025-07-02 17:00:00,5.223
2025-07-02 18:00:00,5.199
2025-07-02 19:00:00,5.308
2025-07-02 20:00:00,5.244
2025-07-02 21:00:00,5.201
2025-07-02 22:00:00,5.261
2025-07-02 23:00:00,5.258
2025-07-03 00:00:00,5.245
2025-07-03 01:00:00,5.201
